bizyaev_name,bizyaev_name_norm,bizyaev_catalog_token,RAJ2000,DEJ2000,h,z0,z0_over_h,h_over_z0,B/T,Type,thickness_flag,sparc_match_name,sparc_match_reason,match_sep_deg,nearest_sparc_name,nearest_sparc_sep_deg
2MASXJ00004392+0705232,2MASXJ000043920705232,,0.18259,7.090147,7.61,1.31,0.1721419185282523,5.809160305343512,0.09,SB,intermediate,,unmatched,,,
PGC2038248,PGC2038248,PGC_2038248,0.186788,33.756809,3.59,0.88,0.245125348189415,4.079545454545454,0.11,SB,thick_like,,unmatched,,,
SDSSJ000045.59+140428.7,SDSSJ000045591404287,,0.189996,14.074663,3.7,0.82,0.2216216216216216,4.51219512195122,0.07,SC,thick_like,,unmatched,,,
PGC1454005,PGC1454005,PGC_1454005,0.199556,14.27753,4.13,1.79,0.4334140435835351,2.3072625698324023,0.22,SB,thick_like,,unmatched,,,
PGC1045602,PGC1045602,PGC_1045602,0.21228,-5.370842,4.11,1.0,0.24330900243309,4.11,0.08,SC,thick_like,,unmatched,,,
PGC1457443,PGC1457443,PGC_1457443,0.220469,14.413526,6.77,1.1,0.1624815361890694,6.154545454545453,0.17,SB,intermediate,,unmatched,,,
UGC12900,UGC12900,UGC_12900,0.233094,20.338327,18.51,2.81,0.1518098325229605,6.587188612099644,0.06,SB,intermediate,,unmatched,,,
PGC991444,PGC991444,PGC_991444,0.463719,-9.408434,4.18,1.29,0.3086124401913876,3.2403100775193794,0.07,SC,thick_like,,unmatched,,,
PGC1501610,PGC1501610,PGC_1501610,0.473763,16.137632,5.55,1.45,0.2612612612612612,3.827586206896552,0.06,SC,thick_like,,unmatched,,,
PGC91845,PGC91845,PGC_91845,0.577984,35.242317,7.51,1.33,0.1770972037283621,5.646616541353383,0.05,SD,intermediate,,unmatched,,,
NED,NED,,0.593305,-10.42879,6.19,0.65,0.1050080775444265,9.523076923076925,0.05,SD,intermediate,,unmatched,,,
PGC1964011,PGC1964011,PGC_1964011,0.598585,31.778606,3.79,1.58,0.41688654353562,2.3987341772151898,0.27,SA,thick_like,,unmatched,,,
PGC2024213,PGC2024213,PGC_2024213,0.680029,33.131416,4.52,1.76,0.3893805309734514,2.568181818181818,0.19,SB,thick_like,,unmatched,,,
NED,NED,,0.688804,31.461485,4.23,1.18,0.2789598108747044,3.584745762711865,0.07,SB,thick_like,,unmatched,,,
PGC1819666,PGC1819666,PGC_1819666,0.829738,27.850815,6.07,1.47,0.2421746293245469,4.129251700680272,0.14,SC,thick_like,,unmatched,,,
NED,NED,,0.854554,24.132711,4.53,1.39,0.3068432671081677,3.2589928057553963,0.07,SC,thick_like,,unmatched,,,
