measurement_id,paper_source,paper_title_short,observation_date,time_reference,time_value,quantity_name,value_min,value_max,unit,component_label,measurement_role,notes,dataset,event_name
MEAS-01,Crotts2015,Light Echoes from Supernova 2014J in M82,2014-09-05,days_since_discovery,227,major_echo_radius_arcsec,0.6,0.6,arcsec,major_echo,direct_radius_estimate,Recent HST/WFC3 imaging revealed a light echo at radii of about 0.6 arcsec from the supernova.,SN2014J,SN 2014J
MEAS-02,Crotts2015,Light Echoes from Supernova 2014J in M82,2015-02-02,days_since_discovery,377,major_echo_radius_arcsec,0.6,0.6,arcsec,major_echo,direct_radius_estimate,Recent HST/WFC3 imaging revealed a light echo at radii of about 0.6 arcsec from the supernova.,SN2014J,SN 2014J
MEAS-03,Crotts2015,Light Echoes from Supernova 2014J in M82,2014-09-05,days_since_discovery,227,possible_inner_echo_radius_arcsec,0.4,0.4,arcsec,possible_inner_echo,possible_radius_estimate,Likely additional light echoes were reported at a smaller radius of about 0.4 arcsec.,SN2014J,SN 2014J
MEAS-04,Crotts2015,Light Echoes from Supernova 2014J in M82,2015-02-02,days_since_discovery,377,possible_inner_echo_radius_arcsec,0.4,0.4,arcsec,possible_inner_echo,possible_radius_estimate,Likely additional light echoes were reported at a smaller radius of about 0.4 arcsec.,SN2014J,SN 2014J
MEAS-05,Crotts2015,Light Echoes from Supernova 2014J in M82,2014-09-05,days_since_discovery,227,major_echo_physical_radius_pc,12.0,12.0,pc,major_echo,derived_radius_estimate,The 0.6 arcsec major echo corresponds to about 12 pc at the distance of M82.,SN2014J,SN 2014J
MEAS-06,Crotts2015,Light Echoes from Supernova 2014J in M82,2014-09-05,days_since_discovery,227,foreground_distance_major_echo_pc,330.0,330.0,pc,major_echo,geometry_context,The major echo signal corresponds to material about 330 pc in the foreground of the SN.,SN2014J,SN 2014J
MEAS-07,Yang2017,Interstellar-medium mapping in M82 through light echoes around supernova 2014J,2014-09-05,days_since_B_band_maximum,216,echo_epoch_marker,1.0,1.0,flag,multiple_epoch_dataset,epoch_marker,WFC3/UVIS epoch included in multiple-epoch echo analysis at about 216 days after B-band maximum.,SN2014J,SN 2014J
MEAS-08,Yang2017,Interstellar-medium mapping in M82 through light echoes around supernova 2014J,2014-11-05,days_since_B_band_maximum,277,echo_epoch_marker,1.0,1.0,flag,multiple_epoch_dataset,epoch_marker,ACS/WFC epoch included in multiple-epoch echo analysis at about 277 days after B-band maximum.,SN2014J,SN 2014J
MEAS-09,Yang2017,Interstellar-medium mapping in M82 through light echoes around supernova 2014J,2015-02-01,days_since_B_band_maximum,365,echo_epoch_marker,1.0,1.0,flag,multiple_epoch_dataset,epoch_marker,WFC3/UVIS epoch included in multiple-epoch echo analysis at about 365 days after B-band maximum.,SN2014J,SN 2014J
MEAS-10,Yang2017,Interstellar-medium mapping in M82 through light echoes around supernova 2014J,2015-03-24,days_since_B_band_maximum,416,echo_epoch_marker,1.0,1.0,flag,multiple_epoch_dataset,epoch_marker,ACS/WFC epoch included in multiple-epoch echo analysis at about 416 days after B-band maximum.,SN2014J,SN 2014J
MEAS-11,Yang2017,Interstellar-medium mapping in M82 through light echoes around supernova 2014J,2014-11-05,days_since_B_band_maximum,277,foreground_distance_diffuse_cloud_pc,100.0,500.0,pc,diffuse_echo_cloud,geometry_context,Diffuse radially extended echo indicates an inhomogeneous interstellar dust cloud ranging from about 100 to 500 pc in the foreground.,SN2014J,SN 2014J
