r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,5749.482172619048,5793.849431509133,279.0507773855553,30.949222614444693,32.01971220966044
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,5248.664993412383,5293.032252302469,283.4576327953641,26.542367204635923,27.732866596197596
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,4783.500968508617,4827.868227398702,285.0491576327145,28.950842367285475,30.263641208956074
18.56,317.0,277.4176075882712,12.7,ESO563-G021,22.91,276.47,0.0,5414.27801724138,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,4146.580226293106,4190.947485183191,278.89780444635994,38.10219555364006,39.58239241172879
20.3,319.0,274.1903712751416,10.4,ESO563-G021,33.06,272.19,0.0,5012.857142857143,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,3,0.35,-1.5819868695656207,2.4463045956520326,2.758412999994659,-0.3121084043426263,-0.5451969083076462,0.8137612782847401,0.5,0.417118604102806,1.2627827210061282,0.417118604102806,0.5451969083076462,0.8720403141189149,0.3946513248895163,0.07200578380288578,0.15697986581461795,789.2641045070261,0.6798743183076766,44.36935676760718,3725.3037184639343,44.36725889008539,3703.4659950738915,3747.833253963977,275.8278721512181,43.172127848781884,44.809628724858385
23.68,317.0,274.2245512349323,9.3,ESO563-G021,39.67,271.34,0.0,4243.623310810811,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,3175.6378589527026,3176.902201745017,274.27913543928565,42.72086456071435,42.77544876506772
25.41,317.0,265.4585180400132,7.23,ESO563-G021,44.98,261.62,0.0,3954.7028728846913,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,2773.247729240457,2774.5120720327714,265.51902333044376,51.48097666955624,51.54148195998681
27.06,312.0,257.17034238029856,8.39,ESO563-G021,46.29,252.97,0.0,3597.339246119734,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,2444.071877309682,2445.3362201019963,257.23685217316745,54.76314782683255,54.829657619701436
28.8,312.0,247.63895028851982,8.37,ESO563-G021,43.21,243.84,0.0,3380.0,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,2129.3420034722217,2130.606346264536,247.71245986509973,64.28754013490027,64.36104971148018
30.53,311.0,238.15547211853016,11.5,ESO563-G021,45.08,233.85,0.0,3168.0641991483785,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,4,0.35,-3.0,1.9500000000000002,2.758412999994659,-0.8084129999946588,-0.49630459565203244,1.9154120967712844e-23,0.5,0.6585710917236501,1.0000000000004057,0.6585710917236501,0.44959838944457475,0.8489421388068226,0.8998498302256915,0.002481234976963767,0.0052660623205647945,410.03890305887063,0.8891011626511113,1.26434297200695,1936.2948191502226,1.2643427923142636,1857.7801801506714,1859.0445229429856,238.23649864252403,72.76350135747597,72.84452788146984
33.91,313.0,224.30081163473304,15.9,ESO563-G021,59.7,216.21,0.0,2889.0887643762903,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,0.7914057632321625,0.9081943184491031,1.1608642785715801,0.00043546541012894584,0.0009887180284005427,207.75646714482434,0.6175774234800804,0.11414542505622376,981.0722051116704,0.11414542454117027,1483.6583338248304,1483.7724792493716,224.30943977315397,88.69056022684603,88.69918836526696
35.65,320.0,217.71449767987434,8.83,ESO563-G021,61.56,208.83,0.0,2872.370266479664,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,0.7914057632321625,0.9081943184491031,1.1608642785715801,0.00043546541012894584,0.0009887180284005427,207.75646714482434,0.6175774234800804,0.11414542505622376,981.0722051116704,0.11414542454117027,1329.582117812062,1329.6962632366033,217.7238429395938,102.2761570604062,102.28550232012566
37.3,321.0,212.31512287164097,7.88,ESO563-G021,63.33,202.65,0.0,2762.493297587132,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,0.7914057632321625,0.9081943184491031,1.1608642785715801,0.00043546541012894584,0.0009887180284005427,207.75646714482434,0.6175774234800804,0.11414542505622376,981.0722051116704,0.11414542454117027,1208.5177319034854,1208.6318773280266,212.3251492978055,108.6748507021945,108.68487712835903
39.03,320.0,206.59717931278735,8.0,ESO563-G021,62.96,196.77,0.0,2623.6228542147064,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,5,0.35,0.0,3.0,2.758412999994659,0.24158700000534106,1.0499999999999998,1.4019250488160894e-23,0.5,0.899787785899552,1.0000000000004743,0.899787785899552,0.7914057632321625,0.9081943184491031,1.1608642785715801,0.00043546541012894584,0.0009887180284005427,207.75646714482434,0.6175774234800804,0.11414542505622376,981.0722051116704,0.11414542454117027,1093.579157058673,1093.6933024832142,206.60796111457046,113.39203888542954,113.40282068721265
