r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.34,38.8,27.88485251888559,3.69,UGC08490,0.91,27.87,0.0,4427.764705882352,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,1,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.695682705829246,0.5,0.11674876847290638,1.1188522384589383,0.11674876847290638,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,279.27409164185514,0.0,0.0,1317.5091497680528,0.0,2286.955882352941,2286.955882352941,27.884852518885587,10.91514748111441,10.915147481114406
0.68,50.1,40.152713482403655,3.69,UGC08490,7.1,39.52,0.0,3691.191176470588,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,1,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.695682705829246,0.5,0.11674876847290638,1.1188522384589383,0.11674876847290638,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,279.27409164185514,0.0,0.0,1317.5091497680528,0.0,2370.9417647058826,2370.9417647058826,40.152713482403655,9.947286517596346,9.947286517596346
1.02,60.2,45.68022876475117,3.69,UGC08490,10.23,44.52,0.0,3552.980392156863,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,1,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.695682705829246,0.5,0.11674876847290638,1.1188522384589383,0.11674876847290638,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,279.27409164185514,0.0,0.0,1317.5091497680528,0.0,2045.7679411764707,2045.7679411764707,45.68022876475117,14.519771235248832,14.519771235248832
1.36,68.2,47.83659686892453,3.69,UGC08490,12.18,46.26,0.0,3420.0294117647063,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,1,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.695682705829246,0.5,0.11674876847290638,1.1188522384589383,0.11674876847290638,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,279.27409164185514,0.0,0.0,1317.5091497680528,0.0,1682.6029411764705,1682.6029411764705,47.83659686892453,20.363403131075472,20.363403131075472
1.69,72.8,48.01641802550457,3.69,UGC08490,14.42,45.8,0.0,3135.9999999999995,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,1,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.695682705829246,0.5,0.11674876847290638,1.1188522384589383,0.11674876847290638,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,279.27409164185514,0.0,0.0,1317.5091497680528,0.0,1364.2463905325446,1364.2463905325446,48.01641802550457,24.783581974495426,24.783581974495426
2.37,76.6,46.876435444687985,3.69,UGC08490,18.41,43.11,0.0,2475.7637130801686,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,2,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.32783434652624427,0.5,0.3167487684729064,1.0922533028258867,0.3167487684729064,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,113.11803816807827,0.0,0.0,533.574894297955,0.0,927.1730801687763,927.1730801687763,46.876435444687985,29.72356455531201,29.72356455531201
2.7,77.6,46.08538271512997,3.69,UGC08490,20.65,41.2,0.0,2230.281481481481,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,2,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.32783434652624427,0.5,0.3167487684729064,1.0922533028258867,0.3167487684729064,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,113.11803816807827,0.0,0.0,533.574894297955,0.0,786.6157407407405,786.6157407407405,46.08538271512997,31.514617284870027,31.514617284870027
3.05,78.5,44.954221158863376,3.69,UGC08490,21.24,39.62,0.0,2020.409836065574,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,2,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.32783434652624427,0.5,0.3167487684729064,1.0922533028258867,0.3167487684729064,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,113.11803816807827,0.0,0.0,533.574894297955,0.0,662.5842622950819,662.5842622950819,44.954221158863376,33.545778841136624,33.545778841136624
3.38,78.2,44.11988780584103,3.69,UGC08490,22.11,38.18,0.0,1809.242603550296,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,2,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.32783434652624427,0.5,0.3167487684729064,1.0922533028258867,0.3167487684729064,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,113.11803816807827,0.0,0.0,533.574894297955,0.0,575.9066568047338,575.9066568047338,44.11988780584103,34.08011219415897,34.08011219415897
3.72,78.8,43.91853595009743,3.69,UGC08490,23.77,36.93,0.0,1669.2043010752686,UGC08490,UGC8490,Bizyaev_2014,,False,unique_to_2014,PGC2579855,,EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,2,0.35,-1.5477838158721011,2.4582756644447645,2.5775520154608182,-0.11927635101605372,0.0,0.32783434652624427,0.5,0.3167487684729064,1.0922533028258867,0.3167487684729064,0.0,0.0,0.014226847911704858,0.9095133045172988,0.0,113.11803816807827,0.0,0.0,533.574894297955,0.0,518.5047849462366,518.5047849462366,43.91853595009743,34.88146404990257,34.88146404990257
