record_id,time_phase,approx_date_or_period,parameter_name,value_min,value_max,unit,value_type,source_kind,source_id,source_title,note,url
MASS-01,pre-outburst / progenitor interpretation,pre-2002,progenitor_initial_mass,65,65,M_sun,single estimate,direct paper abstract,Munari2005,"On the distance, reddening and progenitor of V838 Mon",One progenitor interpretation suggesting an initial mass of about 65 solar masses; model-dependent and not consensus.,https://pure.psu.edu/en/publications/on-the-distance-reddening-and-progenitor-of-v838-mon
MASS-02,pre-outburst / progenitor interpretation,pre-2002,progenitor_mass_range,5,10,M_sun,range estimate,direct paper discussion,Crause2005,V838 Mon: light echo evolution and distance estimate,Discussion section cites Tylenda et al. (2004) claim that progenitor was most likely a 5-10 solar mass dwarf.,https://academic.oup.com/mnras/article/358/4/1352/1070068
MASS-03,2002 January-March outburst,2002-01 to 2002-03,eruption_count,3,3,count,observational count,direct paper abstract,Crause2003,The post-outburst photometric behaviour of V838 Mon,"The light curve indicated that three eruptions took place in 2002 January, February and March.",https://academic.oup.com/mnras/article/341/3/785/1003534
MASS-04,2002 pre-March maximum,week prior to 2002 March maximum,new_shell_ejection_detected,1,1,flag,qualitative detection,direct paper abstract,Crause2003,The post-outburst photometric behaviour of V838 Mon,Echelle spectra indicated the ejection of a new shell of material shortly before the March maximum.,https://academic.oup.com/mnras/article/341/3/785/1003534
MASS-05,2002 April-May post-outburst,2002-04 to 2002-05,dust_shell_formation_detected,1,1,flag,qualitative detection,direct paper abstract,Crause2003,The post-outburst photometric behaviour of V838 Mon,"Infrared excess in April 2002 indicated formation of a dust shell, associated with rapid optical fading in April-May.",https://academic.oup.com/mnras/article/341/3/785/1003534
MASS-06,2002 April-May shell expansion context,around JD 535-555 in 2002,shell_expansion_velocity_context,350,350,km_s^-1,single estimate,direct paper discussion,Crause2003,The post-outburst photometric behaviour of V838 Mon,"A simple shell-cooling estimate used a velocity of about 350 km/s, giving roughly 200 days for strong cooling evolution.",https://academic.oup.com/mnras/article/341/3/785/1003534
MASS-07,2002 outburst ejecta / literature compilation,"2002 event, later summarized",ejecta_mass_upper_limit,0.01,0.01,M_sun,upper limit,secondary literature compilation,Retter2006_summary,planets capture model of V838 Monocerotis: conclusions for the penetration depth of the planet(s),Summary reports Rushton et al. (2003) upper limit of 0.01 solar masses for ejecta from absence of molecular emission.,https://academic.oup.com/mnras/article/370/3/1573/1161030
MASS-08,2002 outburst ejecta / literature compilation,"2002 event, later summarized",ejected_mass_estimate,0.04,0.04,M_sun,single estimate,secondary literature compilation,Retter2006_summary,planets capture model of V838 Monocerotis: conclusions for the penetration depth of the planet(s),"Summary reports Lynch et al. (2004) estimate of about 0.04 solar masses ejected, based on infrared observations and a spherical shell model.",https://academic.oup.com/mnras/article/370/3/1573/1161030
MASS-09,2002 outburst total mass loss / literature compilation,"2002 event, later summarized",total_mass_lost_range,0.001,0.6,M_sun,range estimate,secondary literature compilation,Retter2006_summary,planets capture model of V838 Monocerotis: conclusions for the penetration depth of the planet(s),Summary reports Tylenda (2005) conclusion that total mass lost was about 0.001-0.6 solar masses; very uncertain.,https://academic.oup.com/mnras/article/370/3/1573/1161030
MASS-10,2002 outburst ejecta / literature compilation,"2002 event, later summarized",ejecta_mass_adopted_range,0.01,0.1,M_sun,range estimate,secondary literature compilation,Retter2006_summary,planets capture model of V838 Monocerotis: conclusions for the penetration depth of the planet(s),Summary reports Tylenda & Soker (2006) adopted an ejecta-mass range of 0.01-0.1 solar masses.,https://academic.oup.com/mnras/article/370/3/1573/1161030
MASS-11,2002 outburst envelope / literature compilation,"2002 event, later summarized",collapsing_envelope_mass,0.2,0.2,M_sun,single estimate,secondary literature compilation,Retter2006_summary,planets capture model of V838 Monocerotis: conclusions for the penetration depth of the planet(s),Summary says Tylenda (2005) argued that the decline could be described by a collapsing envelope of about 0.2 solar masses.,https://academic.oup.com/mnras/article/370/3/1573/1161030
MASS-12,2002-2004 light echo context,2002-05 to 2004-12,light_echo_dust_interpretation,,,,qualitative interpretation,direct paper abstract/discussion,Crause2005,V838 Mon: light echo evolution and distance estimate,The scattering material responsible for the light echo is probably a thin interstellar sheet rather than earlier ejecta from the star.,https://academic.oup.com/mnras/article/358/4/1352/1070068
