Name,preferred_name,catalog_name_normalized,RAJ2000,DEJ2000,Band,h,e_h,z0,e_z0,z0_over_h,h_over_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,thickness_flag,biz_name,biz_name_norm,biz_catalog_token,RA_match_deg,DE_match_deg,biz_aname_norm,biz_aname_token,biz_ned_norm,biz_ned_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
EON_0.183_7.090,2MASXJ00004392+0705232,,0.18259,7.090147,r,7.61,2.56,1.31,0.18,0.1721419185282523,5.809160305343512,23.51,1.04,-0.23,16.88,0.09,SB,,2MASXJ00004392+0705232,NED,intermediate,2MASXJ00004392+0705232,2MASXJ00004392+0705232,,0.18259,7.090147,2MASXJ00004392+0705232,,NED,,False,unmatched,,,
EON_0.187_33.757,PGC2038248,PGC2038248,0.186788,33.756809,r,3.59,0.53,0.88,0.1,0.245125348189415,4.079545454545454,22.06,0.19,0.061,17.36,0.11,SB,,PGC2038248,NED,thick_like,PGC2038248,PGC2038248,PGC2038248,0.186788,33.756809,PGC2038248,PGC2038248,NED,,False,unmatched,,,
EON_0.190_14.075,SDSSJ000045.59+140428.7,,0.189996,14.074663,r,3.7,0.09,0.82,0.1,0.2216216216216216,4.51219512195122,21.3,0.21,0.106,17.39,0.07,SC,12512.0,SDSSJ000045.59+140428.7,NED,thick_like,SDSSJ000045.59+140428.7,SDSSJ000045.59+140428.7,,0.189996,14.074663,SDSSJ000045.59+140428.7,,NED,,False,unmatched,,,
EON_0.200_14.278,PGC1454005,PGC1454005,0.199556,14.27753,r,4.13,0.07,1.79,0.14,0.4334140435835351,2.3072625698324023,20.2,0.15,0.036,15.3,0.22,SB,10873.0,PGC1454005,NED,thick_like,PGC1454005,PGC1454005,PGC1454005,0.199556,14.27753,PGC1454005,PGC1454005,NED,,False,unmatched,,,
EON_0.212_-5.371,PGC1045602,PGC1045602,0.21228,-5.370842,r,4.11,0.16,1.0,0.09,0.24330900243309,4.11,22.1,0.19,-0.082,17.13,0.08,SC,11241.0,PGC1045602,NED,thick_like,PGC1045602,PGC1045602,PGC1045602,0.21228,-5.370842,PGC1045602,PGC1045602,NED,,False,unmatched,,,
EON_0.220_14.414,PGC1457443,PGC1457443,0.220469,14.413526,r,6.77,0.75,1.1,0.14,0.1624815361890694,6.154545454545453,22.71,0.31,0.028,16.65,0.17,SB,27590.0,PGC1457443,NED,intermediate,PGC1457443,PGC1457443,PGC1457443,0.220469,14.413526,PGC1457443,PGC1457443,NED,,False,unmatched,,,
EON_0.233_20.338,UGC12900,UGC12900,0.233094,20.338327,r,18.51,0.55,2.81,0.24,0.1518098325229605,6.587188612099644,22.77,0.19,-0.108,14.52,0.06,SB,6803.0,UGC12900,NED,intermediate,UGC12900,UGC12900,UGC12900,0.233094,20.338327,UGC12900,UGC12900,NED,,False,unmatched,,,
EON_0.464_-9.408,PGC991444,PGC991444,0.463719,-9.408434,r,4.18,0.05,1.29,0.1,0.3086124401913876,3.2403100775193794,21.33,0.25,-0.093,16.99,0.07,SC,22772.0,PGC991444,NED,thick_like,PGC991444,PGC991444,PGC991444,0.463719,-9.408434,PGC991444,PGC991444,NED,,False,unmatched,,,
EON_0.474_16.138,PGC1501610,PGC1501610,0.473763,16.137632,r,5.55,0.06,1.45,0.09,0.2612612612612612,3.827586206896552,21.63,0.14,0.031,16.4,0.06,SC,12783.0,PGC1501610,NED,thick_like,PGC1501610,PGC1501610,PGC1501610,0.473763,16.137632,PGC1501610,PGC1501610,NED,,False,unmatched,,,
EON_0.578_35.242,PGC91845,PGC91845,0.577984,35.242317,r,7.51,0.22,1.33,0.08,0.1770972037283621,5.646616541353383,22.58,0.14,-0.093,16.86,0.05,SD,,PGC091845,NED,intermediate,PGC91845,PGC91845,PGC91845,0.577984,35.242317,PGC091845,PGC91845,NED,,False,unmatched,,,
EON_0.593_-10.429,NED,,0.593305,-10.42879,r,6.19,0.23,0.65,0.13,0.1050080775444265,9.523076923076925,22.0,0.2,-0.105,17.89,0.05,SD,,,NED,intermediate,NED,NED,,0.593305,-10.42879,,,NED,,False,unmatched,,,
EON_0.599_31.779,PGC1964011,PGC1964011,0.598585,31.778606,r,3.79,0.08,1.58,0.2,0.41688654353562,2.3987341772151898,20.91,0.18,-0.036,15.98,0.27,SA,,PGC1964011,NED,thick_like,PGC1964011,PGC1964011,PGC1964011,0.598585,31.778606,PGC1964011,PGC1964011,NED,,False,unmatched,,,
