r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,psi_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,tau_i,v_desc_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,rotation_residual_desc_kms,rotation_residual_bar_only_kms,source_file,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__
1.34,58.3,120.17,10.5,ESO563-G021,0.0,120.17,0.0,2536.4850746268653,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.35,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,0.06197337002763119,0.85,0.41433070985520626,0.46498407269840897,0.9299681453968179,0.5,0.0630747465220467,0.01014867254699487,120.77824366918605,10776.737985074627,10886.10757000991,109.36958493528255,-62.47824366918606,-61.870000000000005,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
2.23,74.1,137.48,5.69,ESO563-G021,0.0,137.48,0.0,2462.2466367713,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.35,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,0.06197337002763119,0.85,0.41433070985520626,0.46498407269840897,0.9299681453968179,0.5,0.0630747465220467,0.01014867254699487,138.1758586971765,8475.672825112106,8561.689653229634,86.01682811752835,-64.0758586971765,-63.379999999999995,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
3.12,119.0,146.18,4.27,ESO563-G021,0.0,146.18,0.0,4538.782051282051,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.35,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,0.06197337002763119,0.85,0.41433070985520626,0.46498407269840897,0.9299681453968179,0.5,0.0630747465220467,0.01014867254699487,146.91989397987533,6848.907820512821,6918.415143287758,69.50732277493717,-27.919893979875326,-27.180000000000007,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
4.01,141.0,157.86,3.76,ESO563-G021,0.0,157.86,0.0,4957.85536159601,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.35,3.3190566089620868,3.267345864204473,0.051710744757613725,0.19342264714468899,0.06197337002763119,0.85,0.41433070985520626,0.46498407269840897,0.9299681453968179,0.5,0.0630747465220467,0.01014867254699487,158.6590126122802,6214.408877805488,6277.476878579475,63.06800077398657,-17.659012612280208,-16.860000000000014,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
5.79,227.0,199.19,4.2,ESO563-G021,0.0,199.19,0.0,8899.65457685665,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.35,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.05807358077769495,0.85,0.8322029389998141,0.4640192939245338,0.9280385878490676,0.5,0.21044564961094084,0.019061752002550704,201.0794934319974,6852.617633851468,6983.24053175625,130.6228979047819,25.920506568002594,27.810000000000002,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
6.69,246.0,217.87,4.24,ESO563-G021,0.0,217.87,0.0,9045.7399103139,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.35,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.05807358077769495,0.85,0.8322029389998141,0.4640192939245338,0.9280385878490676,0.5,0.21044564961094084,0.019061752002550704,219.93668976368934,7095.267100149476,7230.515322004384,135.24822185490757,26.063310236310656,28.129999999999995,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
7.58,268.0,228.65,5.56,ESO563-G021,0.0,228.65,0.0,9475.461741424802,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.35,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.05807358077769495,0.85,0.8322029389998141,0.4640192939245338,0.9280385878490676,0.5,0.21044564961094084,0.019061752002550704,230.81894760392697,6897.206134564644,7028.678967412187,131.47283284754303,37.18105239607303,39.349999999999994,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
8.47,283.0,241.76,2.96,ESO563-G021,0.0,241.76,0.0,9455.6080283353,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.35,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.05807358077769495,0.85,0.8322029389998141,0.4640192939245338,0.9280385878490676,0.5,0.21044564961094084,0.019061752002550704,244.05330755620108,6900.578229043683,7032.115339919914,131.53711087623105,38.94669244379892,41.24000000000001,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
10.23,291.0,260.94,9.81,ESO563-G021,0.0,260.94,0.0,8277.712609970675,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.35,3.315795029517921,3.267345864204473,0.048449165313448006,0.18122279713439976,0.05807358077769495,0.85,0.8322029389998141,0.4640192939245338,0.9280385878490676,0.5,0.21044564961094084,0.019061752002550704,263.4152468303901,6655.8830498533725,6782.755841907659,126.87279205428604,27.584753169609883,30.060000000000002,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,274.28601348411314,5749.482172619048,5597.679850670171,-151.80232194887685,35.71398651588686,32.01971220966044,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,278.51588821042975,5248.664993412383,5110.085638053004,-138.5793553593794,31.48411178957025,27.732866596197596,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.35,3.201687117372589,3.267345864204473,-0.06565874683188389,-0.2455947730003647,-0.07862785776183914,0.85,0.9709285881982807,0.40688063914237005,0.8137612782847401,0.5,0.417118604102806,-0.02640278157080161,279.9655880347571,4783.500968508617,4657.203237293365,-126.29773121525159,34.034411965242896,30.263641208956074,ESO563-G021_pointwise_topostructure_v4.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
