aux_id,comparison_group,time_phase,approx_date_or_period,parameter_name,value_min,value_max,unit,value_type,source_kind,paper_source,paper_title_short,comparison_role,can_join_to_geometry,notes
AUX-01,progenitor_context,pre-outburst,pre-2002,progenitor_initial_mass,65,65,M_sun,single_estimate,direct_paper_statement,Munari2005,distance_reddening_progenitor,context_only,no_direct_join,Highly model-dependent progenitor interpretation; do not treat as fixed physical input for light-echo geometry.
AUX-02,progenitor_context,pre-outburst,pre-2002,progenitor_mass_range,5,10,M_sun,range_estimate,discussion_reference,Crause2005,light_echo_evolution_distance,context_only,no_direct_join,Quoted progenitor interpretation range; keep as contextual bound only.
AUX-03,event_marker,outburst,2002-01 to 2002-03,eruption_count,3,3,count,observational_count,direct_paper_statement,Crause2003,post_outburst_photometric_behaviour,phase_marker,phase_level_only,Use as an event chronology marker rather than a geometry variable.
AUX-04,event_marker,outburst,week before 2002-03 maximum,new_shell_ejection_detected,1,1,flag,qualitative_detection,direct_paper_statement,Crause2003,post_outburst_photometric_behaviour,phase_marker,phase_level_only,Useful for marking when a new ejection episode was reported.
AUX-05,event_marker,post-outburst early,2002-04 to 2002-05,dust_shell_formation_detected,1,1,flag,qualitative_detection,direct_paper_statement,Crause2003,post_outburst_photometric_behaviour,phase_marker,phase_level_only,Useful as an early post-outburst environment-change marker.
AUX-06,ejecta_context,post-outburst early,2002-04 to 2002-05,shell_expansion_velocity_context,350,350,km_s^-1,single_estimate,direct_paper_discussion,Crause2003,post_outburst_photometric_behaviour,auxiliary_bound,phase_level_only,A context velocity used in shell-cooling discussion; not a direct light-echo geometry parameter.
AUX-07,mass_context,outburst_summary,2002 event summarized later,ejecta_mass_upper_limit,0.01,0.01,M_sun,upper_limit,secondary_literature_compilation,Retter2006_summary,planets_capture_model_summary,auxiliary_bound,no_direct_join,Treat as a broad upper bound only.
AUX-08,mass_context,outburst_summary,2002 event summarized later,ejected_mass_estimate,0.04,0.04,M_sun,single_estimate,secondary_literature_compilation,Retter2006_summary,planets_capture_model_summary,auxiliary_bound,no_direct_join,Infrared/spherical-shell-based estimate reported in later summary; use cautiously.
AUX-09,mass_context,outburst_summary,2002 event summarized later,total_mass_lost_range,0.001,0.6,M_sun,range_estimate,secondary_literature_compilation,Retter2006_summary,planets_capture_model_summary,auxiliary_bound,no_direct_join,Very wide model-dependent range; treat only as a rough envelope.
AUX-10,mass_context,outburst_summary,2002 event summarized later,ejecta_mass_adopted_range,0.01,0.1,M_sun,range_estimate,secondary_literature_compilation,Retter2006_summary,planets_capture_model_summary,auxiliary_bound,no_direct_join,Adopted range in later interpretation; not a direct 2002-2004 geometry measurement.
AUX-11,mass_context,decline/envelope_context,2002 event summarized later,collapsing_envelope_mass,0.2,0.2,M_sun,single_estimate,secondary_literature_compilation,Retter2006_summary,planets_capture_model_summary,auxiliary_bound,no_direct_join,Envelope-mass interpretation for decline; use as contextual comparison only.
AUX-12,light_echo_interpretation,light_echo_interval,2002-05 to 2004-12,light_echo_dust_interpretation,,,,qualitative_interpretation,direct_paper_statement,Crause2005,light_echo_evolution_distance,critical_caution,annotation_only,Scattering dust likely interstellar thin sheet rather than direct newly ejected stellar material.
