aux_id,comparison_group,time_phase,approx_date_or_period,phase_date,parameter_name,value_min,value_max,unit,value_type,paper_source,comparison_role,can_join_to_geometry,mass_equivalent_proxy,notes
AUX-01,progenitor_context,pre-outburst,pre-2002,2001-12-31,progenitor_initial_mass,65.0,65.0,M_sun,single_estimate,Munari2005,context_only,no_direct_join,65.0,Highly model-dependent progenitor interpretation; do not treat as fixed physical input for light-echo geometry.
AUX-02,progenitor_context,pre-outburst,pre-2002,2001-12-31,progenitor_mass_range,5.0,10.0,M_sun,range_estimate,Crause2005,context_only,no_direct_join,7.5,Quoted progenitor interpretation range; keep as contextual bound only.
AUX-03,event_marker,outburst,2002-01 to 2002-03,2002-01-15,eruption_count,3.0,3.0,count,observational_count,Crause2003,phase_marker,phase_level_only,0.03,Use as an event chronology marker rather than a geometry variable.
AUX-04,event_marker,outburst,week before 2002-03 maximum,2002-03-15,new_shell_ejection_detected,1.0,1.0,flag,qualitative_detection,Crause2003,phase_marker,phase_level_only,0.02,Useful for marking when a new ejection episode was reported.
AUX-05,event_marker,post-outburst early,2002-04 to 2002-05,2002-04-15,dust_shell_formation_detected,1.0,1.0,flag,qualitative_detection,Crause2003,phase_marker,phase_level_only,0.02,Useful as an early post-outburst environment-change marker.
AUX-06,ejecta_context,post-outburst early,2002-04 to 2002-05,2002-04-15,shell_expansion_velocity_context,350.0,350.0,km_s^-1,single_estimate,Crause2003,auxiliary_bound,phase_level_only,0.005860786223465865,A context velocity used in shell-cooling discussion; not a direct light-echo geometry parameter.
AUX-12,light_echo_interpretation,light_echo_interval,2002-05 to 2004-12,2002-05-15,light_echo_dust_interpretation,,,,qualitative_interpretation,Crause2005,critical_caution,annotation_only,0.0,Scattering dust likely interstellar thin sheet rather than direct newly ejected stellar material.
AUX-07,mass_context,outburst_summary,2002 event summarized later,2002-06-01,ejecta_mass_upper_limit,0.01,0.01,M_sun,upper_limit,Retter2006_summary,auxiliary_bound,no_direct_join,0.01,Treat as a broad upper bound only.
AUX-08,mass_context,outburst_summary,2002 event summarized later,2002-06-01,ejected_mass_estimate,0.04,0.04,M_sun,single_estimate,Retter2006_summary,auxiliary_bound,no_direct_join,0.04,Infrared/spherical-shell-based estimate reported in later summary; use cautiously.
AUX-09,mass_context,outburst_summary,2002 event summarized later,2002-06-01,total_mass_lost_range,0.001,0.6,M_sun,range_estimate,Retter2006_summary,auxiliary_bound,no_direct_join,0.3005,Very wide model-dependent range; treat only as a rough envelope.
AUX-10,mass_context,outburst_summary,2002 event summarized later,2002-06-01,ejecta_mass_adopted_range,0.01,0.1,M_sun,range_estimate,Retter2006_summary,auxiliary_bound,no_direct_join,0.055,Adopted range in later interpretation; not a direct 2002-2004 geometry measurement.
AUX-11,mass_context,decline/envelope_context,2002 event summarized later,2002-06-01,collapsing_envelope_mass,0.2,0.2,M_sun,single_estimate,Retter2006_summary,auxiliary_bound,no_direct_join,0.2,Envelope-mass interpretation for decline; use as contextual comparison only.
