source_id,title,year,authors_or_org,use_case,url,notes
light_echo_paper,The Recurrent Nova T Pyx: Distance and Remnant Geometry from Light Echoes,2013,Sokoloski et al.,light echo geometry / distance,https://arxiv.org/abs/1305.5245,Transient reflection nebula around T Pyx; clumpy ring radius about 5 arcsec; distance 4.8 ± 0.5 kpc; ring embedded in quasi-spherical shell.
image_nasa,Flash of Light from Erupting Star Illuminates Debris Disk,2013,NASA/Hubble,public images / image dates,https://science.nasa.gov/asset/hubble/flash-of-light-from-erupting-star-illuminates-debris-disk/,"Public Hubble page with image dates Sept. 16, Nov. 16, Dec. 10 2011; notes disk about a light-year across."
image_esa,Flash of light from erupting star T Pyxidis illuminates debris disc,2013,ESA/Hubble,public images / descriptive geometry,https://esahubble.org/images/opo1321a/,ESA/Hubble page for the same image set; describes sequential illumination of debris disk and 3-D mapping.
radio_mass,The 2011 Outburst of Recurrent Nova T Pyx: Radio Observations Reveal the Ejecta Mass and Hint at Complex Mass Loss,2012,Nelson et al.,radio ejecta mass,https://arxiv.org/abs/1211.3112,"Radio emission implies ejecta mass of 1-30 × 10^-5 solar masses, depending on filling factor and geometry."
flash_ionization,HST Images Flash Ionization of Old Ejecta by the 2011 Eruption of Recurrent Nova T Pyxidis,2015,Shara et al.,7-epoch HST time series / old ejecta,https://arxiv.org/abs/1503.08840,Seven HST Hα epochs from 4 to 383 days after eruption; no effect until at least day 55; ionization seen by day 132; recombination by day 183; additional structures lit between days 132 and 183; little hydrogen by day 282 and again 101 days later.
shell_evolution,The Nova Shell and Evolution of the Recurrent Nova T Pyxidis,2009,"Schaefer, Pagnotta, Shara",older shell mass / knot velocities,https://arxiv.org/abs/0906.0933,Knots expand at roughly 500-715 km/s; 1866 ejecta total mass about 10^-4.5 solar masses.
infrared_dust,Infrared observations of the recurrent nova T Pyxidis,2012,Evans et al.,dust origin / infrared,https://academic.oup.com/mnrasl/article/424/1/L69/983004,Eruption heated dust in pre-existing nebulosity; dust most likely interstellar swept up by T Pyx rather than freshly produced in eruptions.
interferometry_2011,The 2011 outburst of the recurrent nova T Pyxidis. Evidence for a face-on bipolar ejection,2011,Chesneau et al.,early angular expansion / geometry,https://www.aanda.org/articles/aa/full_html/2011/10/aa17792-11/aa17792-11.html,Interferometry found slow expansion velocities ≤300 km/s before day 20; later data from day 28 onward favored bipolar morphology with faster expansion.
muse_2024,The physical properties of T Pyx as measured by MUSE,2024,Izzo et al.,3D geometry / nebular parallax / blob volume method,https://arxiv.org/abs/2312.04277,MUSE analysis describes a two-component remnant (tilted ring plus fast bipolar ejecta) and discusses using measured blob size and distance to estimate volume and an upper limit on bipolar ejecta mass.
eruption_discovery,"The 2011 Eruption of the Recurrent Nova T Pyxidis; the Discovery, the Pre-eruption Rise, the Pre-eruption Orbital Period, and the Reason for the Long Delay",2011,Schaefer et al.,eruption reference epoch,https://arxiv.org/abs/1109.0065,Discovery/eruption reference epoch JD 2455665.7931 = UT 2011 April 14.29.
